[AI인코딩] segment_14 480p: CRF=30, maxrate=2400000.0
[AI인코딩] segment_14 720p: CRF=30, maxrate=2400000.0
[AI인코딩] segment_14 1080p: CRF=30, maxrate=2400000.0
[AI인코딩] segment_15 360p: CRF=31, maxrate=2336999.9999999995
[AI인코딩] segment_15 480p: CRF=31, maxrate=2336999.9999999995
[AI인코딩] segment_15 720p: CRF=31, maxrate=2336999.9999999995
[AI인코딩] segment_15 1080p: CRF=31, maxrate=2336999.9999999995
[AI인코딩] segment_16 360p: CRF=30, maxrate=1706000.0000000007
[AI인코딩] segment_16 480p: CRF=30, maxrate=1706000.0000000007
[AI인코딩] segment_16 720p: CRF=30, maxrate=1706000.0000000007
[AI인코딩] segment_16 1080p: CRF=30, maxrate=1706000.0000000007
[AI인코딩] segment_17 360p: CRF=30, maxrate=1725000.0000000002
[AI인코딩] segment_17 480p: CRF=30, maxrate=1725000.0000000002
[AI인코딩] segment_17 720p: CRF=30, maxrate=1725000.0000000002
[AI인코딩] segment_17 1080p: CRF=30, maxrate=1725000.0000000002
[AI인코딩] segment_18 360p: CRF=30, maxrate=1728000.0000000007
[AI인코딩] segment_18 480p: CRF=30, maxrate=1728000.0000000007
[AI인코딩] segment_18 720p: CRF=30, maxrate=1728000.0000000007
[AI인코딩] segment_18 1080p: CRF=30, maxrate=1728000.0000000007
[AI인코딩] segment_19 360p: CRF=31, maxrate=1595000.0
[AI인코딩] segment_19 480p: CRF=31, maxrate=1595000.0
[AI인코딩] segment_19 720p: CRF=31, maxrate=1595000.0
[AI인코딩] segment_19 1080p: CRF=31, maxrate=1595000.0
[AI인코딩] segment_20 360p: CRF=30, maxrate=784999.9999999998
[AI인코딩] segment_20 480p: CRF=30, maxrate=784999.9999999998
[AI인코딩] segment_20 720p: CRF=30, maxrate=784999.9999999998
[AI인코딩] segment_20 1080p: CRF=30, maxrate=784999.9999999998
[AI인코딩] segment_21 360p: CRF=31, maxrate=2408999.9999999995
[AI인코딩] segment_21 480p: CRF=31, maxrate=2408999.9999999995
[AI인코딩] segment_21 720p: CRF=31, maxrate=2408999.9999999995
[AI인코딩] segment_21 1080p: CRF=31, maxrate=2408999.9999999995
[AI인코딩] segment_22 360p: CRF=31, maxrate=2419999.9999999995
[AI인코딩] segment_22 480p: CRF=31, maxrate=2419999.9999999995
[AI인코딩] segment_22 720p: CRF=31, maxrate=2419999.9999999995
[AI인코딩] segment_22 1080p: CRF=31, maxrate=2419999.9999999995
[AI인코딩] segment_23 360p: CRF=31, maxrate=1976000.000000001
[AI인코딩] segment_23 480p: CRF=31, maxrate=1976000.000000001
[AI인코딩] segment_23 720p: CRF=31, maxrate=1976000.000000001
[AI인코딩] segment_23 1080p: CRF=31, maxrate=1976000.000000001
[AI인코딩] segment_24 360p: CRF=29, maxrate=1222000.0000000002
[AI인코딩] segment_24 480p: CRF=29, maxrate=1222000.0000000002
[AI인코딩] segment_24 720p: CRF=29, maxrate=1222000.0000000002
[AI인코딩] segment_24 1080p: CRF=29, maxrate=1222000.0000000002
[AI인코딩] segment_25 360p: CRF=29, maxrate=758999.9999999995
[AI인코딩] segment_25 480p: CRF=29, maxrate=758999.9999999995
[AI인코딩] segment_25 720p: CRF=29, maxrate=758999.9999999995
[AI인코딩] segment_25 1080p: CRF=29, maxrate=758999.9999999995
