=== [husky] 영상 인코딩 시작 ====== [husky] 영상 인코딩 시작 ===[AI인코딩] segment_0 360p: CRF=31, maxrate=2296000.000000001
[AI인코딩] segment_14 720p: CRF=24, maxrate=3858999.9999999977
[AI인코딩] segment_14 1080p: CRF=24, maxrate=3858999.9999999977
[AI인코딩] segment_15 360p: CRF=24, maxrate=3972999.999999998
[AI인코딩] segment_15 480p: CRF=24, maxrate=3972999.999999998
[AI인코딩] segment_15 720p: CRF=24, maxrate=3972999.999999998
[AI인코딩] segment_15 1080p: CRF=24, maxrate=3972999.999999998
[AI인코딩] segment_16 360p: CRF=25, maxrate=3822999.999999998
[AI인코딩] segment_16 480p: CRF=25, maxrate=3822999.999999998
[AI인코딩] segment_16 720p: CRF=25, maxrate=3822999.999999998
[AI인코딩] segment_16 1080p: CRF=25, maxrate=3822999.999999998
[AI인코딩] segment_17 360p: CRF=24, maxrate=3888999.9999999977
[AI인코딩] segment_17 480p: CRF=24, maxrate=3888999.9999999977
[AI인코딩] segment_17 720p: CRF=24, maxrate=3888999.9999999977
[AI인코딩] segment_17 1080p: CRF=24, maxrate=3888999.9999999977
[AI인코딩] segment_18 360p: CRF=24, maxrate=4176999.999999997
[AI인코딩] segment_18 480p: CRF=24, maxrate=4176999.999999997
[AI인코딩] segment_18 720p: CRF=24, maxrate=4176999.999999997
[AI인코딩] segment_18 1080p: CRF=24, maxrate=4176999.999999997
[AI인코딩] segment_19 360p: CRF=24, maxrate=3970999.9999999977
[AI인코딩] segment_19 480p: CRF=24, maxrate=3970999.9999999977
[AI인코딩] segment_19 720p: CRF=24, maxrate=3970999.9999999977
[AI인코딩] segment_19 1080p: CRF=24, maxrate=3970999.9999999977
[AI인코딩] segment_20 360p: CRF=24, maxrate=4091999.999999998
[AI인코딩] segment_20 480p: CRF=24, maxrate=4091999.999999998
[AI인코딩] segment_20 720p: CRF=24, maxrate=4091999.999999998
[AI인코딩] segment_20 1080p: CRF=24, maxrate=4091999.999999998
[AI인코딩] segment_21 360p: CRF=23, maxrate=4183999.9999999977
[AI인코딩] segment_21 480p: CRF=23, maxrate=4183999.9999999977
[AI인코딩] segment_21 720p: CRF=23, maxrate=4183999.9999999977
[AI인코딩] segment_21 1080p: CRF=23, maxrate=4183999.9999999977
[AI인코딩] segment_22 360p: CRF=25, maxrate=3796999.999999998
[AI인코딩] segment_22 480p: CRF=25, maxrate=3796999.999999998
[AI인코딩] segment_22 720p: CRF=25, maxrate=3796999.999999998
[AI인코딩] segment_22 1080p: CRF=25, maxrate=3796999.999999998
[AI인코딩] segment_23 360p: CRF=25, maxrate=3796999.999999998
[AI인코딩] segment_23 480p: CRF=25, maxrate=3796999.999999998
[AI인코딩] segment_23 720p: CRF=25, maxrate=3796999.999999998
[AI인코딩] segment_23 1080p: CRF=25, maxrate=3796999.999999998
=== [Sports] 영상 인코딩 시작 ===[AI인코딩] segment_0 360p: CRF=26, maxrate=6055000.000000005
[AI인코딩] segment_0 480p: CRF=26, maxrate=6055000.000000005
[AI인코딩] segment_0 720p: CRF=26, maxrate=6055000.000000005
[AI인코딩] segment_0 1080p: CRF=26, maxrate=6055000.000000005
[AI인코딩] segment_1 360p: CRF=29, maxrate=1874999.9999999984
[AI인코딩] segment_1 480p: CRF=29, maxrate=1874999.9999999984
[AI인코딩] segment_1 720p: CRF=29, maxrate=1874999.9999999984
[AI인코딩] segment_1 1080p: CRF=29, maxrate=1874999.9999999984
[AI인코딩] segment_2 360p: CRF=28, maxrate=2601999.999999998
[AI인코딩] segment_2 480p: CRF=28, maxrate=2601999.999999998
[AI인코딩] segment_2 720p: CRF=28, maxrate=2601999.999999998
[AI인코딩] segment_2 1080p: CRF=28, maxrate=2601999.999999998
[AI인코딩] segment_3 360p: CRF=27, maxrate=2861999.9999999986
[AI인코딩] segment_3 480p: CRF=27, maxrate=2861999.9999999986
[AI인코딩] segment_3 720p: CRF=27, maxrate=2861999.9999999986
[AI인코딩] segment_3 1080p: CRF=27, maxrate=2861999.9999999986
[AI인코딩] segment_4 360p: CRF=28, maxrate=1491999.9999999988
[AI인코딩] segment_4 480p: CRF=28, maxrate=1491999.9999999988
[AI인코딩] segment_4 720p: CRF=28, maxrate=1491999.9999999988
[AI인코딩] segment_4 1080p: CRF=28, maxrate=1491999.9999999988
[AI인코딩] segment_5 360p: CRF=28, maxrate=3122999.9999999986
[AI인코딩] segment_5 480p: CRF=28, maxrate=3122999.9999999986
[AI인코딩] segment_5 720p: CRF=28, maxrate=3122999.9999999986
[AI인코딩] segment_5 1080p: CRF=28, maxrate=3122999.9999999986
[AI인코딩] segment_6 360p: CRF=26, maxrate=4737000.0
[AI인코딩] segment_6 480p: CRF=26, maxrate=4737000.0
[AI인코딩] segment_6 720p: CRF=26, maxrate=4737000.0
[AI인코딩] segment_6 1080p: CRF=26, maxrate=4737000.0
[AI인코딩] segment_7 360p: CRF=27, maxrate=4769000.0
[AI인코딩] segment_7 480p: CRF=27, maxrate=4769000.0
[AI인코딩] segment_7 720p: CRF=27, maxrate=4769000.0
[AI인코딩] segment_7 1080p: CRF=27, maxrate=4769000.0
[AI인코딩] segment_8 360p: CRF=28, maxrate=3638999.9999999986
[AI인코딩] segment_8 480p: CRF=28, maxrate=3638999.9999999986
[AI인코딩] segment_8 720p: CRF=28, maxrate=3638999.9999999986
[AI인코딩] segment_8 1080p: CRF=28, maxrate=3638999.9999999986
[AI인코딩] segment_9 360p: CRF=29, maxrate=3556999.999999998
[AI인코딩] segment_9 480p: CRF=29, maxrate=3556999.999999998
[AI인코딩] segment_9 720p: CRF=29, maxrate=3556999.999999998
[AI인코딩] segment_9 1080p: CRF=29, maxrate=3556999.999999998
[AI인코딩] segment_10 360p: CRF=28, maxrate=1792999.9999999986
[AI인코딩] segment_10 480p: CRF=28, maxrate=1792999.9999999986
[AI인코딩] segment_10 720p: CRF=28, maxrate=1792999.9999999986
[AI인코딩] segment_10 1080p: CRF=28, maxrate=1792999.9999999986
[AI인코딩] segment_11 360p: CRF=29, maxrate=2042999.9999999986
[AI인코딩] segment_11 480p: CRF=29, maxrate=2042999.9999999986
[AI인코딩] segment_11 720p: CRF=29, maxrate=2042999.9999999986
[AI인코딩] segment_11 1080p: CRF=29, maxrate=2042999.9999999986
[AI인코딩] segment_12 360p: CRF=28, maxrate=4166999.9999999986
[AI인코딩] segment_12 480p: CRF=28, maxrate=4166999.9999999986
[AI인코딩] segment_12 720p: CRF=28, maxrate=4166999.9999999986
[AI인코딩] segment_12 1080p: CRF=28, maxrate=4166999.9999999986
[AI인코딩] segment_13 360p: CRF=28, maxrate=2488999.999999998
[AI인코딩] segment_13 480p: CRF=28, maxrate=2488999.999999998
[AI인코딩] segment_13 720p: CRF=28, maxrate=2488999.999999998
[AI인코딩] segment_13 1080p: CRF=28, maxrate=2488999.999999998
[AI인코딩] segment_14 360p: CRF=29, maxrate=1877999.9999999986
[AI인코딩] segment_14 480p: CRF=29, maxrate=1877999.9999999986
[AI인코딩] segment_14 720p: CRF=29, maxrate=1877999.9999999986
[AI인코딩] segment_14 1080p: CRF=29, maxrate=1877999.9999999986
[AI인코딩] segment_15 360p: CRF=29, maxrate=3553999.999999998
[AI인코딩] segment_15 480p: CRF=29, maxrate=3553999.999999998
[AI인코딩] segment_15 720p: CRF=29, maxrate=3553999.999999998
[AI인코딩] segment_15 1080p: CRF=29, maxrate=3553999.999999998
[AI인코딩] segment_16 360p: CRF=29, maxrate=2090999.9999999988
[AI인코딩] segment_16 480p: CRF=29, maxrate=2090999.9999999988
[AI인코딩] segment_16 720p: CRF=29, maxrate=2090999.9999999988
[AI인코딩] segment_16 1080p: CRF=29, maxrate=2090999.9999999988
[AI인코딩] segment_17 360p: CRF=29, maxrate=1935999.9999999986
[AI인코딩] segment_17 480p: CRF=29, maxrate=1935999.9999999986
[AI인코딩] segment_17 720p: CRF=29, maxrate=1935999.9999999986
[AI인코딩] segment_17 1080p: CRF=29, maxrate=1935999.9999999986
[AI인코딩] segment_18 360p: CRF=29, maxrate=2355999.999999998
[AI인코딩] segment_18 480p: CRF=29, maxrate=2355999.999999998
[AI인코딩] segment_18 720p: CRF=29, maxrate=2355999.999999998
[AI인코딩] segment_18 1080p: CRF=29, maxrate=2355999.999999998
[AI인코딩] segment_19 360p: CRF=28, maxrate=1502999.9999999993
[AI인코딩] segment_19 480p: CRF=28, maxrate=1502999.9999999993
[AI인코딩] segment_19 720p: CRF=28, maxrate=1502999.9999999993
[AI인코딩] segment_19 1080p: CRF=28, maxrate=1502999.9999999993
[AI인코딩] segment_20 360p: CRF=27, maxrate=1418999.9999999998
[AI인코딩] segment_20 480p: CRF=27, maxrate=1418999.9999999998
[AI인코딩] segment_20 720p: CRF=27, maxrate=1418999.9999999998
[AI인코딩] segment_20 1080p: CRF=27, maxrate=1418999.9999999998
[AI인코딩] segment_21 360p: CRF=28, maxrate=2774999.999999998
[AI인코딩] segment_21 480p: CRF=28, maxrate=2774999.999999998
[AI인코딩] segment_21 720p: CRF=28, maxrate=2774999.999999998
[AI인코딩] segment_21 1080p: CRF=28, maxrate=2774999.999999998
[AI인코딩] segment_22 360p: CRF=29, maxrate=1943999.9999999988
[AI인코딩] segment_22 480p: CRF=29, maxrate=1943999.9999999988
[AI인코딩] segment_22 720p: CRF=29, maxrate=1943999.9999999988
[AI인코딩] segment_22 1080p: CRF=29, maxrate=1943999.9999999988
[AI인코딩] segment_23 360p: CRF=28, maxrate=2015999.9999999986
[AI인코딩] segment_23 480p: CRF=28, maxrate=2015999.9999999986
[AI인코딩] segment_23 720p: CRF=28, maxrate=2015999.9999999986
[AI인코딩] segment_23 1080p: CRF=28, maxrate=2015999.9999999986
[AI인코딩] segment_24 360p: CRF=28, maxrate=1592999.999999999
[AI인코딩] segment_24 480p: CRF=28, maxrate=1592999.999999999
[AI인코딩] segment_24 720p: CRF=28, maxrate=1592999.999999999
[AI인코딩] segment_24 1080p: CRF=28, maxrate=1592999.999999999
[AI인코딩] segment_25 360p: CRF=28, maxrate=1735999.9999999988
[AI인코딩] segment_25 480p: CRF=28, maxrate=1735999.9999999988
[AI인코딩] segment_25 720p: CRF=28, maxrate=1735999.9999999988
[AI인코딩] segment_25 1080p: CRF=28, maxrate=1735999.9999999988
=== [Russian minister Roman Starovoit sacked by Putin found dead _ BBC News] 영상 인코딩 시작 ===[AI인코딩] segment_0 360p: CRF=28, maxrate=723999.9999999995
[AI인코딩] segment_0 480p: CRF=28, maxrate=723999.9999999995
[AI인코딩] segment_0 720p: CRF=28, maxrate=723999.9999999995
[AI인코딩] segment_0 1080p: CRF=28, maxrate=723999.9999999995
[AI인코딩] segment_1 360p: CRF=27, maxrate=749999.9999999995
[AI인코딩] segment_1 480p: CRF=27, maxrate=749999.9999999995
[AI인코딩] segment_1 720p: CRF=27, maxrate=749999.9999999995
[AI인코딩] segment_1 1080p: CRF=27, maxrate=749999.9999999995
[AI인코딩] segment_2 360p: CRF=29, maxrate=691999.9999999997
[AI인코딩] segment_2 480p: CRF=29, maxrate=691999.9999999997
[AI인코딩] segment_2 720p: CRF=29, maxrate=691999.9999999997
[AI인코딩] segment_2 1080p: CRF=29, maxrate=691999.9999999997
[AI인코딩] segment_3 360p: CRF=28, maxrate=729999.9999999995
[AI인코딩] segment_3 480p: CRF=28, maxrate=729999.9999999995
[AI인코딩] segment_3 720p: CRF=28, maxrate=729999.9999999995
[AI인코딩] segment_3 1080p: CRF=28, maxrate=729999.9999999995
[AI인코딩] segment_4 360p: CRF=29, maxrate=726999.9999999997
[AI인코딩] segment_4 480p: CRF=29, maxrate=726999.9999999997
[AI인코딩] segment_4 720p: CRF=29, maxrate=726999.9999999997
[AI인코딩] segment_4 1080p: CRF=29, maxrate=726999.9999999997
[AI인코딩] segment_5 360p: CRF=29, maxrate=657999.9999999997
[AI인코딩] segment_5 480p: CRF=29, maxrate=657999.9999999997
[AI인코딩] segment_5 720p: CRF=29, maxrate=657999.9999999997
[AI인코딩] segment_5 1080p: CRF=29, maxrate=657999.9999999997
[AI인코딩] segment_6 360p: CRF=29, maxrate=898999.9999999998
[AI인코딩] segment_6 480p: CRF=29, maxrate=898999.9999999998
[AI인코딩] segment_6 720p: CRF=29, maxrate=898999.9999999998
[AI인코딩] segment_6 1080p: CRF=29, maxrate=898999.9999999998
[AI인코딩] segment_7 360p: CRF=29, maxrate=765999.9999999997
[AI인코딩] segment_7 480p: CRF=29, maxrate=765999.9999999997
[AI인코딩] segment_7 720p: CRF=29, maxrate=765999.9999999997
[AI인코딩] segment_7 1080p: CRF=29, maxrate=765999.9999999997
[AI인코딩] segment_8 360p: CRF=29, maxrate=695999.9999999997
[AI인코딩] segment_8 480p: CRF=29, maxrate=695999.9999999997
[AI인코딩] segment_8 720p: CRF=29, maxrate=695999.9999999997
[AI인코딩] segment_8 1080p: CRF=29, maxrate=695999.9999999997
[AI인코딩] segment_9 360p: CRF=29, maxrate=640999.9999999998
[AI인코딩] segment_9 480p: CRF=29, maxrate=640999.9999999998
[AI인코딩] segment_9 720p: CRF=29, maxrate=640999.9999999998
[AI인코딩] segment_9 1080p: CRF=29, maxrate=640999.9999999998
[AI인코딩] segment_10 360p: CRF=27, maxrate=675999.9999999997
[AI인코딩] segment_10 480p: CRF=27, maxrate=675999.9999999997
[AI인코딩] segment_10 720p: CRF=27, maxrate=675999.9999999997
[AI인코딩] segment_10 1080p: CRF=27, maxrate=675999.9999999997
[AI인코딩] segment_11 360p: CRF=29, maxrate=700999.9999999995
[AI인코딩] segment_11 480p: CRF=29, maxrate=700999.9999999995
[AI인코딩] segment_11 720p: CRF=29, maxrate=700999.9999999995
[AI인코딩] segment_11 1080p: CRF=29, maxrate=700999.9999999995
[AI인코딩] segment_12 360p: CRF=28, maxrate=691999.9999999997
[AI인코딩] segment_12 480p: CRF=28, maxrate=691999.9999999997
[AI인코딩] segment_12 720p: CRF=28, maxrate=691999.9999999997
[AI인코딩] segment_12 1080p: CRF=28, maxrate=691999.9999999997
[AI인코딩] segment_13 360p: CRF=29, maxrate=780999.9999999995
[AI인코딩] segment_13 480p: CRF=29, maxrate=780999.9999999995
[AI인코딩] segment_13 720p: CRF=29, maxrate=780999.9999999995
[AI인코딩] segment_13 1080p: CRF=29, maxrate=780999.9999999995
[AI인코딩] segment_14 360p: CRF=28, maxrate=630999.9999999998
[AI인코딩] segment_14 480p: CRF=28, maxrate=630999.9999999998
[AI인코딩] segment_14 720p: CRF=28, maxrate=630999.9999999998
[AI인코딩] segment_14 1080p: CRF=28, maxrate=630999.9999999998
=== [lol] 영상 인코딩 시작 ===[AI인코딩] segment_0 360p: CRF=28, maxrate=1506999.9999999993
[AI인코딩] segment_0 480p: CRF=28, maxrate=1506999.9999999993
[AI인코딩] segment_0 720p: CRF=28, maxrate=1506999.9999999993
[AI인코딩] segment_0 1080p: CRF=28, maxrate=1506999.9999999993
[AI인코딩] segment_1 360p: CRF=27, maxrate=2061999.999999999
[AI인코딩] segment_1 480p: CRF=27, maxrate=2061999.999999999
[AI인코딩] segment_1 720p: CRF=27, maxrate=2061999.999999999
[AI인코딩] segment_1 1080p: CRF=27, maxrate=2061999.999999999
[AI인코딩] segment_2 360p: CRF=27, maxrate=1285999.9999999993
[AI인코딩] segment_2 480p: CRF=27, maxrate=1285999.9999999993
[AI인코딩] segment_2 720p: CRF=27, maxrate=1285999.9999999993
[AI인코딩] segment_2 1080p: CRF=27, maxrate=1285999.9999999993
[AI인코딩] segment_3 360p: CRF=28, maxrate=1541999.9999999988
[AI인코딩] segment_3 480p: CRF=28, maxrate=1541999.9999999988
[AI인코딩] segment_3 720p: CRF=28, maxrate=1541999.9999999988
[AI인코딩] segment_3 1080p: CRF=28, maxrate=1541999.9999999988
