segment_name,time_second,bitrate_kbps,resolution
ai_seg_48_720p.mp4,1,606.28,720p
ai_seg_49_1080p.mp4,0,1468.26,1080p
ai_seg_49_360p.mp4,0,274.22,360p
ai_seg_49_480p.mp4,0,450.96,480p
ai_seg_49_720p.mp4,0,825.49,720p
ai_seg_49_1080p.mp4,1,1194.67,1080p
ai_seg_49_360p.mp4,1,206.71,360p
ai_seg_49_480p.mp4,1,368.95,480p
ai_seg_49_720p.mp4,1,648.01,720p
ai_seg_50_1080p.mp4,0,1816.7,1080p
ai_seg_50_360p.mp4,0,345.21,360p
ai_seg_50_480p.mp4,0,532.02,480p
ai_seg_50_720p.mp4,0,933.78,720p
ai_seg_50_1080p.mp4,1,1737.75,1080p
ai_seg_50_360p.mp4,1,281.91,360p
ai_seg_50_480p.mp4,1,453.37,480p
ai_seg_50_720p.mp4,1,957.31,720p
ai_seg_51_1080p.mp4,0,2073.62,1080p
ai_seg_51_360p.mp4,0,378.0,360p
ai_seg_51_480p.mp4,0,602.35,480p
ai_seg_51_720p.mp4,0,1111.34,720p
ai_seg_51_1080p.mp4,1,1636.1,1080p
ai_seg_51_360p.mp4,1,291.15,360p
ai_seg_51_480p.mp4,1,468.17,480p
ai_seg_51_720p.mp4,1,864.64,720p
ai_seg_52_1080p.mp4,0,2076.32,1080p
ai_seg_52_360p.mp4,0,367.86,360p
ai_seg_52_480p.mp4,0,602.94,480p
ai_seg_52_720p.mp4,0,1109.63,720p
ai_seg_52_1080p.mp4,1,1692.18,1080p
ai_seg_52_360p.mp4,1,277.49,360p
ai_seg_52_480p.mp4,1,445.85,480p
ai_seg_52_720p.mp4,1,859.07,720p
ai_seg_53_1080p.mp4,0,1955.8,1080p
ai_seg_53_360p.mp4,0,357.44,360p
ai_seg_53_480p.mp4,0,576.43,480p
ai_seg_53_720p.mp4,0,1065.55,720p
ai_seg_53_1080p.mp4,1,1832.38,1080p
ai_seg_53_360p.mp4,1,294.31,360p
ai_seg_53_480p.mp4,1,493.63,480p
ai_seg_53_720p.mp4,1,951.31,720p
ai_seg_54_1080p.mp4,0,1817.02,1080p
ai_seg_54_360p.mp4,0,289.09,360p
ai_seg_54_480p.mp4,0,464.01,480p
ai_seg_54_720p.mp4,0,929.16,720p
ai_seg_54_1080p.mp4,1,1429.29,1080p
ai_seg_54_360p.mp4,1,276.0,360p
ai_seg_54_480p.mp4,1,424.25,480p
ai_seg_54_720p.mp4,1,742.49,720p
ai_seg_55_1080p.mp4,0,1530.99,1080p
ai_seg_55_360p.mp4,0,256.78,360p
ai_seg_55_480p.mp4,0,408.54,480p
ai_seg_55_720p.mp4,0,837.26,720p
ai_seg_55_1080p.mp4,1,1156.26,1080p
ai_seg_55_360p.mp4,1,237.43,360p
ai_seg_55_480p.mp4,1,364.76,480p
ai_seg_55_720p.mp4,1,647.07,720p
ai_seg_56_1080p.mp4,0,1974.86,1080p
ai_seg_56_360p.mp4,0,307.14,360p
ai_seg_56_480p.mp4,0,476.16,480p
ai_seg_56_720p.mp4,0,976.18,720p
ai_seg_56_1080p.mp4,1,1229.48,1080p
ai_seg_56_360p.mp4,1,216.22,360p
ai_seg_56_480p.mp4,1,345.06,480p
ai_seg_56_720p.mp4,1,648.97,720p
ai_seg_57_1080p.mp4,0,1362.7,1080p
ai_seg_57_360p.mp4,0,250.06,360p
ai_seg_57_480p.mp4,0,395.86,480p
ai_seg_57_720p.mp4,0,698.08,720p
ai_seg_57_1080p.mp4,1,1178.3,1080p
ai_seg_57_360p.mp4,1,209.03,360p
ai_seg_57_480p.mp4,1,317.9,480p
ai_seg_57_720p.mp4,1,589.26,720p
ai_seg_58_1080p.mp4,0,1339.16,1080p
ai_seg_58_360p.mp4,0,265.98,360p
ai_seg_58_480p.mp4,0,407.29,480p
ai_seg_58_720p.mp4,0,706.27,720p
ai_seg_58_1080p.mp4,1,1107.02,1080p
ai_seg_58_360p.mp4,1,194.91,360p
ai_seg_58_480p.mp4,1,293.54,480p
ai_seg_58_720p.mp4,1,544.89,720p
ai_seg_59_1080p.mp4,0,1135.71,1080p
ai_seg_59_360p.mp4,0,221.77,360p
ai_seg_59_480p.mp4,0,342.78,480p
ai_seg_59_720p.mp4,0,595.85,720p
ai_seg_59_1080p.mp4,1,2097.56,1080p
ai_seg_59_360p.mp4,1,324.59,360p
ai_seg_59_480p.mp4,1,493.3,480p
ai_seg_59_720p.mp4,1,977.65,720p
ai_seg_60_1080p.mp4,0,1048.97,1080p
ai_seg_60_360p.mp4,0,203.2,360p
ai_seg_60_480p.mp4,0,296.94,480p
ai_seg_60_720p.mp4,0,568.04,720p
ai_seg_60_1080p.mp4,1,778.64,1080p
ai_seg_60_360p.mp4,1,156.61,360p
ai_seg_60_480p.mp4,1,241.26,480p
ai_seg_60_720p.mp4,1,413.12,720p
ai_seg_61_1080p.mp4,0,967.8,1080p
ai_seg_61_360p.mp4,0,204.62,360p
ai_seg_61_480p.mp4,0,298.22,480p
ai_seg_61_720p.mp4,0,515.21,720p
ai_seg_61_1080p.mp4,1,726.26,1080p
ai_seg_61_360p.mp4,1,151.38,360p
ai_seg_61_480p.mp4,1,227.3,480p
ai_seg_61_720p.mp4,1,396.72,720p
ai_seg_62_1080p.mp4,0,1094.49,1080p
ai_seg_62_360p.mp4,0,221.82,360p
