segment_name,time_second,bitrate_kbps,resolution
ai_seg_50_1080p.mp4,0,3541.66,1080p
ai_seg_50_360p.mp4,0,657.38,360p
ai_seg_50_480p.mp4,0,1151.52,480p
ai_seg_50_720p.mp4,0,2140.5,720p
ai_seg_50_1080p.mp4,1,3020.12,1080p
ai_seg_50_360p.mp4,1,450.81,360p
ai_seg_50_480p.mp4,1,831.42,480p
ai_seg_50_720p.mp4,1,1698.22,720p
ai_seg_51_1080p.mp4,0,3371.62,1080p
ai_seg_51_360p.mp4,0,606.36,360p
ai_seg_51_480p.mp4,0,1014.42,480p
ai_seg_51_720p.mp4,0,1978.76,720p
ai_seg_51_1080p.mp4,1,3181.9,1080p
ai_seg_51_360p.mp4,1,491.22,360p
ai_seg_51_480p.mp4,1,943.91,480p
ai_seg_51_720p.mp4,1,1758.82,720p
ai_seg_52_1080p.mp4,0,3046.49,1080p
ai_seg_52_360p.mp4,0,524.27,360p
ai_seg_52_480p.mp4,0,910.76,480p
ai_seg_52_720p.mp4,0,1841.82,720p
ai_seg_52_1080p.mp4,1,2887.9,1080p
ai_seg_52_360p.mp4,1,455.25,360p
ai_seg_52_480p.mp4,1,836.74,480p
ai_seg_52_720p.mp4,1,1599.8,720p
ai_seg_53_1080p.mp4,0,3198.48,1080p
ai_seg_53_360p.mp4,0,569.1,360p
ai_seg_53_480p.mp4,0,994.6,480p
ai_seg_53_720p.mp4,0,1854.0,720p
ai_seg_53_1080p.mp4,1,2646.38,1080p
ai_seg_53_360p.mp4,1,448.45,360p
ai_seg_53_480p.mp4,1,746.69,480p
ai_seg_53_720p.mp4,1,1452.32,720p
ai_seg_54_1080p.mp4,0,2886.35,1080p
ai_seg_54_360p.mp4,0,569.06,360p
ai_seg_54_480p.mp4,0,870.77,480p
ai_seg_54_720p.mp4,0,1766.49,720p
ai_seg_54_1080p.mp4,1,2375.95,1080p
ai_seg_54_360p.mp4,1,433.53,360p
ai_seg_54_480p.mp4,1,648.86,480p
ai_seg_54_720p.mp4,1,1324.98,720p
